scenario_id,outcome,econ_outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_custody_fraction,user_nodes_per_partition,user_split,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v27_dominant,partial_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,0.6975161003427607,0.5220729366602687,61.99,69.75,7.76,True,partial_switch,1619.0,None,8852.0,-7233.0,16.75,10,0,13000,0.05,0.1,2,30.248389965723938,0.0,55061.171358005005,69.75161003427607,86.4,64286.028641995,1878,0.085,521,0.5,0.01,6,0.3,0.12,249,82462913896.02977,0,272,224424993286.98383,108263677.51667483,v27
sweep_0001,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9550321199143469,61.99,100.0,38.01,True,full_switch,1002.0,2113.0,1341.0,-339.0,47.19,10,0,13000,0.05,0.1,2,0.0,0.0,48282.02764976959,100.0,86.4,71065.17235023042,185,0.085,467,0.5,0.01,6,0.4,0.12,21,0.0,0,446,354522710178.0153,5295013.197364581,v27
sweep_0002,v26_dominant,partial_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,0.34722222222222227,0.6199155648080414,0.3406113537117904,61.99,61.99,0.0,False,partial_switch,None,None,None,None,0.0,3,0,13000,0.05,0.1,2,38.00844351919586,56.39999999999999,59958.498936589225,61.99155648080416,30.0,59388.701063410794,21,0.085,229,0.5,0.01,6,0.5,0.12,151,113183561309.8312,0,78,184164361997.63687,40410647.64086598,v26
sweep_0004,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9947997919916797,62.21,100.0,37.79,True,full_switch,723.0,2340.0,1721.0,-998.0,48.54,10,0,13000,0.05,0.1,2,0.0,0.0,48019.09814323608,100.0,86.4,71328.10185676394,91,0.085,1923,0.5,0.01,6,0.7,0.12,10,0.0,0,1913,355834386181.31323,8289131.669427452,v27
sweep_0005,contested,partial_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,0.5844907407407407,0.6039927566446243,0.49176470588235294,60.4,60.4,0.0,False,partial_switch,None,None,None,None,5.4,5,0,13000,0.05,0.1,2,39.600724335537585,35.9,58122.78032395845,60.39927566446243,50.5,61224.41967604157,534,0.085,425,0.5,0.1,6,0.3,0.12,216,109718278258.63225,117199803.7728232,209,189856925415.4049,0,v26
sweep_0006,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.8955479452054794,60.4,100.0,39.6,True,full_switch,1627.0,5789.0,4627.0,-3000.0,45.54,10,0,13000,0.05,0.1,2,0.0,0.0,48606.593406593405,100.0,86.4,70740.6065934066,405,0.085,584,0.5,0.1,6,0.4,0.12,61,0.0,0,523,352903549512.7448,44879830.74077089,v27
sweep_0007,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.896551724137931,60.4,100.0,39.6,True,full_switch,3342.0,5236.0,3921.0,-579.0,45.74,14,0,13000,0.05,0.1,2,0.0,0.0,48566.92913385827,100.0,86.4,70780.27086614174,199,0.085,290,0.5,0.1,6,0.5,0.12,30,0.0,0,260,353101422605.8825,14664790.37784869,v27
sweep_0008,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9736842105263158,62.62,100.0,37.38,True,full_switch,417.0,2621.0,1295.0,-878.0,47.66,10,0,13000,0.05,0.1,2,0.0,0.0,48190.47619047619,100.0,86.4,71156.72380952381,132,0.085,608,0.5,0.1,6,0.6,0.12,16,0.0,0,592,354979432794.6789,5752004.550579925,v27
sweep_0009,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9782608695652174,62.62,100.0,37.38,True,full_switch,646.0,1624.0,1262.0,-616.0,48.18,10,0,13000,0.05,0.1,2,0.0,0.0,48088.163265306124,100.0,86.4,71259.03673469387,129,0.085,782,0.5,0.1,6,0.7,0.12,17,0.0,0,765,355489841118.7278,9978701.936460424,v27
sweep_0010,contested,partial_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,0.5844907407407407,0.610365964311519,0.5316901408450704,58.63,61.04,2.41,False,partial_switch,5231.0,None,None,None,7.81,5,0,13000,0.05,0.1,2,38.96340356884809,35.9,57431.99991762347,61.0365964311519,50.5,61915.20008237653,293,0.085,284,0.5,0.2,6,0.3,0.12,133,99799493217.01445,148829008.28851748,151,201286315467.8061,0,v27
