timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1776128725.1376688,pool-foundryusa,v27,46114608.29509926,47289030.55167189,v26,True,1174422.256572634,1174422.256572634,Ideology: supporting v27 (loss 2.5% < tolerance 17.4%)
1776128725.1376688,pool-marapool,v26,7070906.605248552,7250984.68458969,v26,False,0,0.0,Ideology and profit aligned
1776128725.1376688,pool-luxor,v26,3535453.302624276,3625492.342294845,v26,False,0,0.0,Ideology and profit aligned
1776128725.1376688,pool-ocean,v26,1844584.3318039705,1891561.222066876,v26,False,0,0.0,Ideology and profit aligned
1776128725.1376688,pool-antpool,v26,25977896.006239243,26639487.210775167,v26,False,0,0.0,Ideology and profit aligned
1776128725.1376688,pool-f2pool,v26,16754974.347219393,17181681.100440785,v26,False,0,0.0,Ideology and profit aligned
1776128725.1376688,pool-viabtc,v26,17216120.430170383,17654571.4059575,v26,False,0,0.0,Rational profit maximization
1776128725.1376688,pool-spiderpool,v26,14295528.57148077,14659599.471018292,v26,False,0,0.0,Rational profit maximization
1776129334.533653,pool-foundryusa,v27,44418021.29176317,48986371.77874257,v26,True,4568350.486979395,5742772.743552029,Ideology: supporting v27 (loss 9.3% < tolerance 17.4%)
1776129334.533653,pool-marapool,v26,6810763.264737019,7511243.6727405265,v26,False,0,0.0,Ideology and profit aligned
1776129334.533653,pool-luxor,v26,3405381.6323685097,3755621.8363702632,v26,False,0,0.0,Ideology and profit aligned
1776129334.533653,pool-ocean,v26,1776720.8516705274,1959454.871149703,v26,False,0,0.0,Ideology and profit aligned
1776129334.533653,pool-antpool,v26,25022151.994359918,27595656.10202498,v26,False,0,0.0,Ideology and profit aligned
1776129334.533653,pool-f2pool,v26,16138547.736007288,17798381.74627646,v26,False,0,0.0,Ideology and profit aligned
1776129334.533653,pool-viabtc,v26,16582727.948924918,18288245.464063887,v26,False,0,0.0,Rational profit maximization
1776129334.533653,pool-spiderpool,v26,13769586.60044659,15185775.251410197,v26,False,0,0.0,Rational profit maximization
1776130019.0900865,pool-foundryusa,v27,44565301.099000886,48839097.246809065,v26,True,4273796.147808179,10016568.891360208,Ideology: supporting v27 (loss 8.8% < tolerance 17.4%)
1776130019.0900865,pool-marapool,v26,6833346.168513469,7488661.577844055,v26,False,0,0.0,Ideology and profit aligned
1776130019.0900865,pool-luxor,v26,3416673.0842567347,3744330.7889220277,v26,False,0,0.0,Ideology and profit aligned
1776130019.0900865,pool-ocean,v26,1782612.0439600358,1953563.8898723628,v26,False,0,0.0,Ideology and profit aligned
1776130019.0900865,pool-antpool,v26,25105119.619103834,27512691.44903577,v26,False,0,0.0,Ideology and profit aligned
1776130019.0900865,pool-f2pool,v26,16192059.399303652,17744871.999673955,v26,False,0,0.0,Ideology and profit aligned
1776130019.0900865,pool-viabtc,v26,16637712.410293665,18233262.972142044,v26,False,0,0.0,Rational profit maximization
1776130019.0900865,pool-spiderpool,v26,13815243.340690281,15140120.14651081,v26,False,0,0.0,Rational profit maximization
1776130685.6739943,pool-foundryusa,v27,45271846.120208815,48132577.532803655,v26,True,2860731.41259484,12877300.303955048,Ideology: supporting v27 (loss 5.9% < tolerance 17.4%)
1776130685.6739943,pool-marapool,v26,6941683.07176535,7380328.555029891,v26,False,0,0.0,Ideology and profit aligned
1776130685.6739943,pool-luxor,v26,3470841.535882675,3690164.2775149457,v26,False,0,0.0,Ideology and profit aligned
1776130685.6739943,pool-ocean,v26,1810873.8448083526,1925303.101312146,v26,False,0,0.0,Ideology and profit aligned
1776130685.6739943,pool-antpool,v26,25503139.98105096,27114685.343479387,v26,False,0,0.0,Ideology and profit aligned
1776130685.6739943,pool-f2pool,v26,16448770.7570092,17488169.83691866,v26,False,0,0.0,Ideology and profit aligned
1776130685.6739943,pool-viabtc,v26,16901489.21821129,17969495.612246696,v26,False,0,0.0,Rational profit maximization
1776130685.6739943,pool-spiderpool,v26,14034272.297264732,14921099.035169132,v26,False,0,0.0,Rational profit maximization
1776131323.6145458,pool-foundryusa,v27,45459499.928658396,47944930.44578411,v26,True,2485430.517125711,15362730.82108076,Ideology: supporting v27 (loss 5.2% < tolerance 17.4%)
1776131323.6145458,pool-marapool,v26,6970456.655727619,7351556.001686895,v26,False,0,0.0,Ideology and profit aligned
1776131323.6145458,pool-luxor,v26,3485228.3278638097,3675778.0008434476,v26,False,0,0.0,Ideology and profit aligned
1776131323.6145458,pool-ocean,v26,1818379.997146336,1917797.2178313644,v26,False,0,0.0,Ideology and profit aligned
1776131323.6145458,pool-antpool,v26,25608851.626477554,27008977.484458372,v26,False,0,0.0,Ideology and profit aligned
1776131323.6145458,pool-f2pool,v26,16516951.640745878,17419991.395301558,v26,False,0,0.0,Ideology and profit aligned
1776131323.6145458,pool-viabtc,v26,16971546.640032467,17899440.699759398,v26,False,0,0.0,Rational profit maximization
1776131323.6145458,pool-spiderpool,v26,14092444.977884103,14862928.438193075,v26,False,0,0.0,Rational profit maximization
1776131930.3868423,pool-foundryusa,v27,46038099.17137796,47366351.92747383,v26,True,1328252.7560958713,16690983.57717663,Ideology: supporting v27 (loss 2.8% < tolerance 17.4%)
1776131930.3868423,pool-marapool,v26,7059175.206277953,7262840.628879318,v26,False,0,0.0,Ideology and profit aligned
1776131930.3868423,pool-luxor,v26,3529587.6031389767,3631420.314439659,v26,False,0,0.0,Ideology and profit aligned
1776131930.3868423,pool-ocean,v26,1841523.9668551185,1894654.077098953,v26,False,0,0.0,Ideology and profit aligned
1776131930.3868423,pool-antpool,v26,25934795.866542913,26683044.919143587,v26,False,0,0.0,Ideology and profit aligned
1776131930.3868423,pool-f2pool,v26,16727176.032267325,17209774.53364882,v26,False,0,0.0,Ideology and profit aligned
1776131930.3868423,pool-viabtc,v26,17187557.023981098,17683438.052923556,v26,False,0,0.0,Rational profit maximization
1776131930.3868423,pool-spiderpool,v26,14271810.743127167,14683569.097516887,v26,False,0,0.0,Rational profit maximization
1776132549.614638,pool-foundryusa,v27,45665054.922782466,47739382.81427914,v26,True,2074327.8914966732,18765311.468673304,Ideology: supporting v27 (loss 4.3% < tolerance 17.4%)
1776132549.614638,pool-marapool,v26,7001975.088159978,7320038.698189467,v26,False,0,0.0,Ideology and profit aligned
1776132549.614638,pool-luxor,v26,3500987.544079989,3660019.3490947336,v26,False,0,0.0,Ideology and profit aligned
1776132549.614638,pool-ocean,v26,1826602.1969112991,1909575.3125711656,v26,False,0,0.0,Ideology and profit aligned
1776132549.614638,pool-antpool,v26,25724647.60650079,26893185.65204391,v26,False,0,0.0,Ideology and profit aligned
1776132549.614638,pool-f2pool,v26,16591636.621944293,17345309.089188084,v26,False,0,0.0,Ideology and profit aligned
1776132549.614638,pool-viabtc,v26,17048287.171172123,17822702.917330872,v26,False,0,0.0,Rational profit maximization
1776132549.614638,pool-spiderpool,v26,14156167.02606257,14799208.672426533,v26,False,0,0.0,Rational profit maximization
1776133221.2948923,pool-foundryusa,v27,45459499.928658396,47944930.44578411,v26,True,2485430.517125711,21250741.985799015,Ideology: supporting v27 (loss 5.2% < tolerance 17.4%)
1776133221.2948923,pool-marapool,v26,6970456.655727619,7351556.001686895,v26,False,0,0.0,Ideology and profit aligned
1776133221.2948923,pool-luxor,v26,3485228.3278638097,3675778.0008434476,v26,False,0,0.0,Ideology and profit aligned
1776133221.2948923,pool-ocean,v26,1818379.997146336,1917797.2178313644,v26,False,0,0.0,Ideology and profit aligned
1776133221.2948923,pool-antpool,v26,25608851.626477554,27008977.484458372,v26,False,0,0.0,Ideology and profit aligned
1776133221.2948923,pool-f2pool,v26,16516951.640745878,17419991.395301558,v26,False,0,0.0,Ideology and profit aligned
1776133221.2948923,pool-viabtc,v26,16971546.640032467,17899440.699759398,v26,False,0,0.0,Rational profit maximization
1776133221.2948923,pool-spiderpool,v26,14092444.977884103,14862928.438193075,v26,False,0,0.0,Rational profit maximization
1776133849.3611038,pool-foundryusa,v27,45301700.13518943,48102724.58714144,v26,True,2801024.4519520104,24051766.437751025,Ideology: supporting v27 (loss 5.8% < tolerance 17.4%)
1776133849.3611038,pool-marapool,v26,6946260.6873957105,7375751.103361687,v26,False,0,0.0,Ideology and profit aligned
1776133849.3611038,pool-luxor,v26,3473130.3436978552,3687875.5516808433,v26,False,0,0.0,Ideology and profit aligned
1776133849.3611038,pool-ocean,v26,1812068.0054075774,1924108.9834856577,v26,False,0,0.0,Ideology and profit aligned
1776133849.3611038,pool-antpool,v26,25519957.74282337,27097868.184089676,v26,False,0,0.0,Ideology and profit aligned
1776133849.3611038,pool-f2pool,v26,16459617.715785488,17477323.26666139,v26,False,0,0.0,Ideology and profit aligned
1776133849.3611038,pool-viabtc,v26,16912634.717137385,17958350.512532804,v26,False,0,0.0,Rational profit maximization
1776133849.3611038,pool-spiderpool,v26,14043527.041908722,14911844.622013848,v26,False,0,0.0,Rational profit maximization
1776134461.2006679,pool-foundryusa,v27,45289693.62916461,48114730.66311428,v26,True,2825037.033949673,26876803.471700698,Ideology: supporting v27 (loss 5.9% < tolerance 17.4%)
1776134461.2006679,pool-marapool,v26,6944419.689805239,7377592.035010856,v26,False,0,0.0,Ideology and profit aligned
1776134461.2006679,pool-luxor,v26,3472209.8449026197,3688796.017505428,v26,False,0,0.0,Ideology and profit aligned
1776134461.2006679,pool-ocean,v26,1811587.7451665848,1924589.226524572,v26,False,0,0.0,Ideology and profit aligned
1776134461.2006679,pool-antpool,v26,25513194.07776273,27104631.606887713,v26,False,0,0.0,Ideology and profit aligned
1776134461.2006679,pool-f2pool,v26,16455255.351929806,17481685.474264853,v26,False,0,0.0,Ideology and profit aligned
1776134461.2006679,pool-viabtc,v26,16908152.288221452,17962832.780895997,v26,False,0,0.0,Rational profit maximization
1776134461.2006679,pool-spiderpool,v26,14039805.025041033,14915566.505565431,v26,False,0,0.0,Rational profit maximization
1776135062.2282686,pool-foundryusa,v27,45843378.272385806,47561065.85190518,v26,True,1717687.5795193762,28594491.051220074,Ideology: supporting v27 (loss 3.6% < tolerance 17.4%)
1776135062.2282686,pool-marapool,v26,7029318.001765823,7292696.763958795,v26,False,0,0.0,Ideology and profit aligned
1776135062.2282686,pool-luxor,v26,3514659.0008829115,3646348.3819793975,v26,False,0,0.0,Ideology and profit aligned
1776135062.2282686,pool-ocean,v26,1833735.1308954326,1902442.6340762079,v26,False,0,0.0,Ideology and profit aligned
1776135062.2282686,pool-antpool,v26,25825103.093444005,26792733.76323992,v26,False,0,0.0,Ideology and profit aligned
1776135062.2282686,pool-f2pool,v26,16656427.43896684,17280520.59285888,v26,False,0,0.0,Ideology and profit aligned
1776135062.2282686,pool-viabtc,v26,17114861.221690703,17756131.251377936,v26,False,0,0.0,Rational profit maximization
1776135062.2282686,pool-spiderpool,v26,14211447.264439605,14743930.414090611,v26,False,0,0.0,Rational profit maximization
1776135683.4466252,pool-foundryusa,v27,45791565.5810018,47612876.687449485,v26,True,1821311.1064476818,30415802.157667756,Ideology: supporting v27 (loss 3.8% < tolerance 17.4%)
1776135683.4466252,pool-marapool,v26,7021373.389086941,7300641.092075588,v26,False,0,0.0,Ideology and profit aligned
1776135683.4466252,pool-luxor,v26,3510686.6945434706,3650320.546037794,v26,False,0,0.0,Ideology and profit aligned
1776135683.4466252,pool-ocean,v26,1831662.6232400723,1904515.0674979798,v26,False,0,0.0,Ideology and profit aligned
1776135683.4466252,pool-antpool,v26,25795915.277297676,26821920.533929877,v26,False,0,0.0,Ideology and profit aligned
1776135683.4466252,pool-f2pool,v26,16637602.161097318,17299345.19643998,v26,False,0,0.0,Ideology and profit aligned
1776135683.4466252,pool-viabtc,v26,17095517.816907335,17775473.963314477,v26,False,0,0.0,Rational profit maximization
1776135683.4466252,pool-spiderpool,v26,14195385.330110561,14759991.773109347,v26,False,0,0.0,Rational profit maximization
1776136292.2036107,pool-foundryusa,v27,45791565.5810018,47612876.687449485,v26,True,1821311.1064476818,32237113.264115438,Ideology: supporting v27 (loss 3.8% < tolerance 17.4%)
1776136292.2036107,pool-marapool,v26,7021373.389086941,7300641.092075588,v26,False,0,0.0,Ideology and profit aligned
1776136292.2036107,pool-luxor,v26,3510686.6945434706,3650320.546037794,v26,False,0,0.0,Ideology and profit aligned
1776136292.2036107,pool-ocean,v26,1831662.6232400723,1904515.0674979798,v26,False,0,0.0,Ideology and profit aligned
1776136292.2036107,pool-antpool,v26,25795915.277297676,26821920.533929877,v26,False,0,0.0,Ideology and profit aligned
1776136292.2036107,pool-f2pool,v26,16637602.161097318,17299345.19643998,v26,False,0,0.0,Ideology and profit aligned
1776136292.2036107,pool-viabtc,v26,17095517.816907335,17775473.963314477,v26,False,0,0.0,Rational profit maximization
1776136292.2036107,pool-spiderpool,v26,14195385.330110561,14759991.773109347,v26,False,0,0.0,Rational profit maximization
1776136908.2347178,pool-foundryusa,v27,45698006.486726,47706432.430602774,v26,True,2008425.9438767731,34245539.20799221,Ideology: supporting v27 (loss 4.2% < tolerance 17.4%)
1776136908.2347178,pool-marapool,v26,7007027.661297986,7314986.306025758,v26,False,0,0.0,Ideology and profit aligned
1776136908.2347178,pool-luxor,v26,3503513.830648993,3657493.153012879,v26,False,0,0.0,Ideology and profit aligned
1776136908.2347178,pool-ocean,v26,1827920.2594690402,1908257.2972241114,v26,False,0,0.0,Ideology and profit aligned
