timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,53.32247203627699,46.67752796372301,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.009330266323058091,0.006442722976359284,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,None
78,60000,60000,38.1,48.3,53.32247203627699,46.67752796372301,2,2,1.0,1.0,2.0,2.0,1.0,1.0,0.01,0.01,0.009330266323058091,0.006442722976359284,0,0,61.581258426748285,38.41874157325172,0.0,19.975,39.0,39.0
145,60000,60000,38.1,48.3,53.32247203627699,46.67752796372301,3,4,1.0,1.0,3.0,4.0,0.010775373303018074,0.005302793867943648,0.00010775373303018074,5.302793867943647e-05,0.009330266323058091,0.006442722976359284,0,0,61.581258426748285,38.41874157325172,0.0,19.975,67.0,33.5
212,59313.21093006752,60033.98906993249,38.1,48.3,53.32247203627699,46.67752796372301,3,5,1.0,1.0,3.0,5.0,0.010775373303018074,0.005302793867943648,0.00010775373303018074,5.302793867943647e-05,0.009330266323058091,0.006442722976359284,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,67.0
345,58927.49664435324,60419.703355646765,38.1,48.3,53.32247203627699,46.67752796372301,3,7,1.0,1.0,3.0,6.0,0.010775373303018074,0.005302793867943648,0.00010775373303018074,5.302793867943647e-05,0.009330266323058091,0.006442722976359284,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,66.5
406,58627.49664435324,60719.70335564676,38.1,48.3,53.32247203627699,46.67752796372301,3,7,1.0,1.0,3.0,6.0,0.010775373303018074,0.005302793867943648,0.00010775373303018074,5.302793867943647e-05,0.009330266323058091,0.006442722976359284,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,None
480,58627.49664435324,60719.70335564676,38.1,48.3,53.32247203627699,46.67752796372301,4,7,1.0,1.0,3.0,6.0,0.010775373303018074,0.005302793867943648,0.00010775373303018074,5.302793867943647e-05,0.009330266323058091,0.006442722976359284,0,0,61.581258426748285,38.41874157325172,0.0,19.975,74.0,None
566,58627.49664435324,60719.70335564676,38.1,48.3,53.32247203627699,46.67752796372301,7,9,1.0,1.0,6.0,7.0,0.010775373303018074,0.005302793867943648,0.00010775373303018074,5.302793867943647e-05,0.009330266323058091,0.006442722976359284,0,0,61.581258426748285,38.41874157325172,0.0,19.975,28.666666666666668,43.0
651,59550.57356743016,59796.626432569836,38.1,48.3,53.32247203627699,46.67752796372301,9,11,1.0,1.0,8.0,9.0,0.010775373303018074,0.005302793867943648,0.00010775373303018074,5.302793867943647e-05,0.009330266323058091,0.006442722976359284,0,0,61.581258426748285,38.41874157325172,0.0,19.975,42.5,42.5
714,59615.73193847088,59731.46806152912,30.0,56.39999999999999,53.32247203627699,46.67752796372301,9,11,1.0,1.0,8.0,9.0,0.010775373303018074,0.005302793867943648,0.00010775373303018074,5.302793867943647e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,None
837,59226.93193847089,60120.26806152912,30.0,56.39999999999999,53.32247203627699,46.67752796372301,9,11,1.0,1.0,8.0,9.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,None
911,59226.93193847089,60120.26806152912,30.0,56.39999999999999,53.32247203627699,46.67752796372301,9,11,1.0,1.0,8.0,9.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,None
1044,59226.93193847089,60120.26806152912,30.0,56.39999999999999,53.32247203627699,46.67752796372301,9,11,1.0,1.0,8.0,9.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,None
1130,59226.93193847089,60120.26806152912,30.0,56.39999999999999,53.32247203627699,46.67752796372301,9,13,1.0,1.0,8.0,11.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,43.0
1249,58870.27559172167,60476.92440827834,30.0,56.39999999999999,53.32247203627699,46.67752796372301,9,20,1.0,1.0,8.0,16.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,17.0
1319,58238.696644353244,61108.50335564676,30.0,56.39999999999999,53.32247203627699,46.67752796372301,12,23,1.0,1.0,8.0,17.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,23.333333333333332,23.333333333333332
1386,58142.696644353244,61204.50335564677,30.0,56.39999999999999,53.32247203627699,46.67752796372301,12,23,1.0,1.0,8.0,17.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,None
1447,58142.696644353244,61204.50335564677,30.0,56.39999999999999,53.32247203627699,46.67752796372301,12,23,1.0,1.0,8.0,17.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,None
1523,58142.696644353244,61204.50335564677,30.0,56.39999999999999,53.32247203627699,46.67752796372301,12,23,1.0,1.0,8.0,17.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,None
1588,58142.696644353244,61204.50335564677,30.0,56.39999999999999,53.32247203627699,46.67752796372301,12,23,1.0,1.0,8.0,17.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,None
1683,58142.696644353244,61204.50335564677,30.0,56.39999999999999,53.32247203627699,46.67752796372301,13,24,1.0,1.0,9.0,17.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,95.0,95.0
1745,58331.00433666093,61016.19566333907,30.0,56.39999999999999,53.32247203627699,46.67752796372301,13,24,1.0,1.0,9.0,17.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,None
1807,58331.00433666093,61016.19566333907,30.0,56.39999999999999,53.32247203627699,46.67752796372301,13,29,1.0,1.0,9.0,22.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,12.4
1871,57929.01922499841,61418.1807750016,30.0,56.39999999999999,53.32247203627699,46.67752796372301,13,29,1.0,1.0,9.0,22.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,None
1982,57929.01922499841,61418.1807750016,30.0,56.39999999999999,53.32247203627699,46.67752796372301,14,30,1.0,1.0,10.0,23.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,111.0,111.0
2060,58020.51482617143,61326.685173828584,30.0,56.39999999999999,53.32247203627699,46.67752796372301,14,30,1.0,1.0,10.0,23.0,0.013684724094832953,0.004541222408185784,0.00013684724094832954,4.541222408185784e-05,0.011849438230283775,0.0055174382935842805,0,0,61.581258426748285,38.41874157325172,0.0,19.975,None,None
