scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,random_seed,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
baseline_0000,v26_dominant,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.0,0.4304611416495379,0.23243243243243245,2,40,1800,0.175,0.135,2,56.9538858350462,98.36999999999999,65036.22630020554,43.046114164953785,0.0,54885.533699794454,1,71,0.085,185,0.5,6,0.125,142,184784670950.05435,950124.9333269708,43,117863434396.71358,0,v26
baseline_0001,v26_dominant,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.0,0.4304611416495379,0.22988505747126436,2,35,1800,0.175,0.135,2,56.9538858350462,98.36999999999999,65052.08428837122,43.046114164953785,0.0,54869.67571162878,2,65,0.085,174,0.5,6,0.125,134,184829727579.13364,593671.7436074913,40,117829380305.92068,0,v26
baseline_0002,v26_dominant,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.0,0.4304611416495379,0.23295454545454544,2,37,1800,0.175,0.135,2,56.9538858350462,98.36999999999999,64999.083443062686,43.046114164953785,0.0,54922.67655693732,3,69,0.085,176,0.5,6,0.125,135,184679138525.65436,633277.6535763182,41,117943196483.57072,0,v26
baseline_0003,v26_dominant,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.0,0.4304611416495379,0.24550898203592814,2,41,1800,0.175,0.135,2,56.9538858350462,98.36999999999999,64945.18335542027,43.046114164953785,0.0,54976.576644579734,4,69,0.085,167,0.5,6,0.125,126,184525994493.07767,708320.430359371,41,118058943730.89763,0,v26
baseline_0004,v26_dominant,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.0,0.4304611416495379,0.25625,2,39,1800,0.175,0.135,2,56.9538858350462,98.36999999999999,64875.97152313548,43.046114164953785,0.0,55045.788476864516,5,69,0.085,160,0.5,6,0.125,119,184329345849.97284,791701.2934516482,41,118207572043.38873,0,v26
baseline_0005,v26_dominant,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.0,0.4304611416495379,0.30412371134020616,2,53,1800,0.175,0.135,2,56.9538858350462,98.36999999999999,64496.651832120435,43.046114164953785,0.0,55425.10816787957,6,100,0.085,194,0.5,6,0.125,135,183251600902.6331,213329.27485918626,59,119022138624.11784,0,v26
baseline_0006,v26_dominant,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.0,0.4304611416495379,0.21390374331550802,2,36,1800,0.175,0.135,2,56.9538858350462,98.36999999999999,65191.008908901196,43.046114164953785,0.0,54730.75109109881,7,69,0.085,187,0.5,6,0.125,147,185224448210.26306,1119474.3414695673,40,117531047907.67012,0,v26
baseline_0007,v26_dominant,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.0,0.4304611416495379,0.2546583850931677,2,38,1800,0.175,0.135,2,56.9538858350462,98.36999999999999,64851.71017117329,43.046114164953785,0.0,55070.04982882672,8,67,0.085,161,0.5,6,0.125,120,184260413099.8092,545264.5203122497,41,118259671860.45552,0,v26
baseline_0008,v26_dominant,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.0,0.4304611416495379,0.23684210526315788,2,44,1800,0.175,0.135,2,56.9538858350462,98.36999999999999,64976.00651998576,43.046114164953785,0.0,54945.75348001424,9,76,0.085,190,0.5,6,0.125,145,184613571043.03897,1096362.1393657364,45,117992752809.72458,0,v26
baseline_0009,v26_dominant,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.0,0.43037278192793843,0.11612903225806452,2,18,1800,0.175,0.135,2,56.96272180720615,98.36999999999999,65915.7281753063,43.03727819279384,0.0,54006.03182469371,10,36,0.085,155,0.5,6,0.125,137,187312617972.2883,0,18,115950950327.6174,0,v26
baseline_0010,v26_dominant,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.0,0.4304611416495379,0.23636363636363636,2,37,1800,0.175,0.135,2,56.9538858350462,98.36999999999999,64979.011110332125,43.046114164953785,0.0,54942.74888966788,11,61,0.085,165,0.5,6,0.125,126,184622107858.13538,989730.8432958089,39,117986300629.82751,0,v26
baseline_0011,v26_dominant,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.0,0.4304611416495379,0.2,2,28,1800,0.175,0.135,2,56.9538858350462,98.36999999999999,65266.57112779174,43.046114164953785,0.0,54655.18887220825,12,55,0.085,150,0.5,6,0.125,120,185439139937.44745,547324.4021546096,30,117368782515.886,0,v26
